№;Укажите тип Вашей общеобразовательной организации;Укажите классы, в которых Вы ведёте педагогическую деятельность как учителя литературы;На Ваш взгляд, достаточное ли количество часов отводится на зарубежную литературу в школе на данный момент?;Как Вы считаете, какое процентное соотношение должно быть между русской литературой и зарубежной при изучении в школе?;С какими проблемами Вы сталкиваетесь в преподавании зарубежной литературе?;К каким источникам материала Вы обращаетесь при поиске методических разработок по изучению зарубежной литературы?;Проявляют ли интерес школьники к изучению зарубежной литературы?
64;Гимназия;6, 9–10 классы;Да;80%–20% ;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;";К опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок») ;Если произведение интересное, то да
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;;
65;Средняя общеобразовательная школа;5, 8, 10 классы;Нет;80%–20%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;";"– к методическим пособиям;";Да, наверное, даже больше. Это, наверное, на ментальном уровне: чужое роднее
;;;;;– другое: в конце учебника, часто во второй его части, что затрудняет изучение по векам. Люблю начинать с зарубежки переходить к отечественной этого же периода. Детям понятнее. ;"– к научно-методическим журналам;";
;;;;;;"к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
66;Гимназия;5–6, 8–10 классы;Нет;80%–20%;–из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература» ;"– к методическим пособиям;";Школьники любят читать произведения зарубежной литературы, но поверхностный разбор в конце года не способствует ни любви к текстам, ни пониманию их особенностей.
;;;;;;– к научно-методическим журналам;
;;;;;;"к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
67;Гимназия;5, 7–8 классы;Да ;80%–20%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок») ;Читающим детям зарубежная литература интересна, если она актуальная для них (захватывающий сюжет, лёгкий язык). Тем, кто не любит читать, неинтересно ничего.
;;;;;;;
68;Гимназия;6–7 классы;Нет;80%–20%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Да. Но зависит от того, фрагмент изучаем и все произведение.
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
69;Гимназия;5–11 классы;Нет;80%–20%;"– недостаточное количество часов на раздел ""Зарубежная литература"", указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Не всегда
;;;;;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;";"– к научно-методическим журналам;";
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции);";
;;;;;;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок»);
70;Основная общеобразовательная школа;5–9 классы;Нет;60%–40%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";– к научно-методическим журналам;Да, зарубежная литература для них интереснее
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;;
71;Средняя общеобразовательная школа;7–11 классы;Да;90%–10%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к методическим пособиям;Да, им нравится.
72;Гимназия;7, 9 классы;Да;80%–20%;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;"– к методическим пособиям;";На мой взгляд, детям интересна фантазийные сюжеты зарубежной литературы, а также литература о сверстниках
;;;;;;к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции) ;
73;Средняя общеобразовательная школа;5,8 классы;Да;80%–20%;"– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература»;  ";"– к методическим пособиям;";Нет
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции) ;
74;Средняя общеобразовательная школа;8–11 классы;Нет;70%–30%;– из-за недостаточного количества времени, отведенного на изучение русской литературы, необходимо задействовать часы из раздела «Зарубежная литература» ;"– к методическим пособиям;";Да, детям обычно интересно изучение зарубежной литературы, да и нам проще, на мой взгляд, объяснять направления литературных процессов, изучая зарубежку в начале года. 
;;;;;;– к опыту коллег (тематические группы, каналы в различных социальных сетях, научно-практические конференции). ;
75;Средняя общеобразовательная школа;8, 11 классы;Нет;60%–40%;"– недостаточное количество часов на раздел «Зарубежная литература», указанных в Федеральной рабочей программе;";"– к методическим пособиям;";Моим ученикам нравится зарубежная литература
;;;;;– нехватка методических пособий, разработок и рекомендаций по обучению зарубежной литературы;– к опыту коллег (порталы, посвященные методическим разработкам, например: «Инфоурок», «Мультиурок») ;
